playerName,playerId,teamName,teamId,primaryPosition,positionGroup,minutesPlayed,averageBallPossession,totalShots,inaccuratePasses,dispossessed,unsuccessfulDribbles,keyPasses,assists,expectedAssists,goals,expectedGoals,marketValue,PEA,PEA/90,CC,CC/90,adjPEA/90,adjCC/90,totalPEA_x,totalCC_x,usageRate,chanceInvolvement,totalPEA_y,totalCC_y,totalPEA,totalCC,RCE
Virgil van Dijk,151545,Liverpool FC,44,DC,Centerback,3420,59.21,30,307,1,0,12,0,1.35,6,3.77,15500000.0,338,8.89,12,0.32,7.51,0.27,3807,507,0.089,0.024,3807,507,3807,507,0.27
Marcos Senesi,830659,Bournemouth,60,DC,Centerback,3290,50.18,17,518,14,3,24,5,4.67,0,1.52,23000000.0,552,15.1,29,0.79,15.05,0.79,3742,374,0.148,0.078,3742,374,3742,374,0.527
Jan Paul van Hecke,962012,Brighton & Hove Albion,30,DC,Centerback,3211,54.08,23,323,6,2,13,3,1.62,3,3.3,65000000.0,354,9.92,16,0.45,9.17,0.42,3682,403,0.096,0.04,3682,403,3682,403,0.417
Bukayo Saka,934235,Arsenal,42,RW,Winger,2225,56.13,71,180,32,51,63,5,7.16,7,7.55,115000000.0,334,13.51,68,2.75,12.03,2.45,3614,458,0.092,0.148,3614,458,3614,458,1.609
Jack Grealish,189061,Everton,48,LW,Winger,1631,43.63,26,91,30,34,40,6,3.57,2,2.15,21000000.0,181,9.99,46,2.54,11.45,2.91,3490,349,0.052,0.132,3490,349,3490,349,2.538
James Garner,927361,Everton,48,MC,Midfielder,3414,43.63,45,229,15,16,56,7,5.95,2,2.03,48000000.0,305,8.04,63,1.66,9.21,1.9,3490,349,0.087,0.181,3490,349,3490,349,2.08
Casemiro,122951,Manchester United,35,MC,Midfielder,2593,51.79,52,299,13,10,36,2,3.12,9,5.52,5500000.0,374,12.98,38,1.32,12.53,1.27,3756,501,0.1,0.076,3756,501,3756,501,0.76
Rayan Cherki,979128,Manchester City,17,AM,Midfielder,1794,60.5,55,173,34,55,61,12,8.65,4,4.13,98000000.0,317,15.9,73,3.66,13.14,3.02,4135,545,0.077,0.134,4135,545,4135,545,1.74
Youri Tielemans,331737,Aston Villa,40,MC,Midfielder,1862,53.55,24,170,13,8,32,4,3.33,0,1.17,43000000.0,215,10.39,36,1.74,9.7,1.62,3295,405,0.065,0.089,3295,405,3295,405,1.369
Mateus Fernandes,1142562,West Ham United,37,MC,Midfielder,3024,42.53,28,196,32,20,37,4,2.97,3,2.0,49000000.0,276,8.21,41,1.22,9.65,1.43,3447,311,0.08,0.132,3447,311,3447,311,1.65
Reece James,885908,Chelsea,38,DR,Fullback,1961,57.74,22,146,13,11,27,4,3.19,2,1.04,63000000.0,192,8.81,31,1.42,7.63,1.23,3277,417,0.059,0.074,3277,417,3277,417,1.254
Rúben Dias,318941,Manchester City,17,DC,Centerback,2149,60.5,10,123,3,3,7,0,0.64,2,0.56,60000000.0,139,5.82,7,0.29,4.81,0.24,4135,545,0.034,0.013,4135,545,4135,545,0.382
Dominik Szoboszlai,869856,Liverpool FC,44,AM,Midfielder,3233,59.21,71,268,27,24,78,7,6.81,6,4.85,91000000.0,390,10.86,85,2.37,9.17,2.0,3807,507,0.102,0.168,3807,507,3807,507,1.647
Kiernan Dewsbury-Hall,861970,Everton,48,MC,Midfielder,2635,43.63,39,180,49,23,37,4,5.38,8,4.31,38000000.0,291,9.94,41,1.4,11.39,1.6,3490,349,0.083,0.117,3490,349,3490,349,1.41
Moisés Caicedo,987650,Chelsea,38,MC,Midfielder,2802,57.74,27,170,19,13,19,1,2.38,3,1.44,104000000.0,229,7.36,20,0.64,6.37,0.55,3277,417,0.07,0.048,3277,417,3277,417,0.686
Enzo Fernández,974505,Chelsea,38,MC,Midfielder,3121,57.74,72,285,41,35,69,4,7.25,10,11.29,97000000.0,433,12.49,73,2.11,10.82,1.83,3277,417,0.132,0.175,3277,417,3277,417,1.326
James Tarkowski,145188,Everton,48,DC,Centerback,3330,43.63,21,302,1,4,19,3,2.07,2,2.75,5200000.0,328,8.86,22,0.59,10.15,0.68,3490,349,0.094,0.063,3490,349,3490,349,0.67
Anton Stach,889861,Leeds United,34,MC,Midfielder,2378,45.74,55,213,26,22,63,3,4.51,5,2.92,27000000.0,316,11.96,66,2.5,13.07,2.73,3578,352,0.088,0.188,3578,352,3578,352,2.136
Ethan Ampadu,847097,Leeds United,34,MC,Midfielder,3123,45.74,26,249,12,5,20,1,2.25,1,2.5,28000000.0,292,8.41,21,0.61,9.19,0.67,3578,352,0.082,0.06,3578,352,3578,352,0.732
Boubacar Kamara,826204,Aston Villa,40,MC,Midfielder,1418,53.55,7,96,15,17,15,3,0.86,1,0.49,39000000.0,135,8.57,18,1.14,8.0,1.06,3295,405,0.041,0.044,3295,405,3295,405,1.073
Harry Wilson,355528,Fulham,43,RW,Winger,2691,51.71,78,146,23,15,39,7,4.78,10,5.83,27000000.0,262,8.76,46,1.54,8.47,1.49,3626,385,0.072,0.119,3626,385,3626,385,1.653
Cristian Romero,829932,Tottenham Hotspur,33,DC,Centerback,1872,50.37,17,143,6,2,12,1,1.26,4,1.31,46000000.0,168,8.08,13,0.62,8.02,0.62,3597,350,0.047,0.037,3597,350,3597,350,0.787
Tom Edozie,1445189,Wolverhampton,3,LW,Winger,26,42.82,2,2,2,1,0,0,0.0,1,0.23,195000.0,7,24.23,0,0.0,28.29,0.0,3167,274,0.002,0.0,3167,274,3167,274,0.0
Fabian Schär,101882,Newcastle United,39,DC,Centerback,1091,52.61,17,124,1,0,4,0,0.61,0,0.98,3900000.0,142,11.71,4,0.33,11.13,0.31,3629,388,0.039,0.01,3629,388,3629,388,0.256
Max Alleyne,1168513,Manchester City,17,DC,Centerback,135,60.5,2,8,1,1,1,0,0.06,0,0.26,7800000.0,12,8.0,1,0.67,6.61,0.55,4135,545,0.003,0.002,4135,545,4135,545,0.667
João Pedro,975079,Chelsea,38,ST,Striker,2674,57.74,73,171,55,38,29,5,2.0,15,14.96,74000000.0,337,11.34,34,1.14,9.82,0.99,3277,417,0.103,0.082,3277,417,3277,417,0.796
Matheus Cunha,886363,Manchester United,35,AM,Midfielder,2503,51.79,90,172,53,47,35,2,3.28,10,7.06,79000000.0,362,13.02,37,1.33,12.57,1.28,3756,501,0.096,0.074,3756,501,3756,501,0.771
Lisandro Martínez,859999,Manchester United,35,DC,Centerback,1237,51.79,5,95,2,2,5,0,0.6,0,0.15,48000000.0,104,7.57,5,0.36,7.31,0.35,3756,501,0.028,0.01,3756,501,3756,501,0.357
Alex Iwobi,352770,Fulham,43,LW,Winger,2434,51.71,39,213,24,26,44,3,4.69,4,1.92,21000000.0,302,11.17,47,1.74,10.8,1.68,3626,385,0.083,0.122,3626,385,3626,385,1.47
Alex Scott,1104986,Bournemouth,60,MC,Midfielder,2859,50.18,44,211,26,23,28,1,2.95,3,3.81,53000000.0,304,9.57,29,0.91,9.54,0.91,3742,374,0.081,0.078,3742,374,3742,374,0.963
Ibrahima Konaté,826215,Liverpool FC,44,DC,Centerback,3100,59.21,12,225,5,2,8,0,0.98,1,1.21,46000000.0,244,7.08,8,0.23,5.98,0.19,3807,507,0.064,0.016,3807,507,3807,507,0.25
Pascal Groß,48480,Brighton & Hove Albion,30,MC,Midfielder,1636,54.08,18,151,10,9,39,3,3.83,1,1.45,2300000.0,188,10.34,42,2.31,9.56,2.14,3682,403,0.051,0.104,3682,403,3682,403,2.039
Adam Wharton,1109771,Crystal Palace,7,MC,Midfielder,2562,45.92,32,255,27,14,44,5,7.38,1,1.52,74000000.0,328,11.52,49,1.72,12.54,1.87,3757,330,0.087,0.148,3757,330,3757,330,1.701
Anthony Gordon,914902,Newcastle United,39,LW,Winger,1817,52.61,48,94,26,37,26,2,3.37,6,8.83,82000000.0,205,10.15,28,1.39,9.65,1.32,3629,388,0.056,0.072,3629,388,3629,388,1.286
Ryan Gravenberch,904897,Liverpool FC,44,MC,Midfielder,2996,59.21,38,207,26,23,29,3,2.26,5,1.9,87000000.0,294,8.83,32,0.96,7.46,0.81,3807,507,0.077,0.063,3807,507,3807,507,0.818
Martín Zubimendi,966837,Arsenal,42,MC,Midfielder,3001,56.13,27,244,10,8,19,1,2.26,5,2.85,77000000.0,289,8.67,20,0.6,7.72,0.53,3614,458,0.08,0.044,3614,458,3614,458,0.55
Konstantinos Mavropanos,829022,West Ham United,37,DC,Centerback,2535,42.53,23,208,2,0,4,0,0.7,3,2.55,19500000.0,233,8.27,4,0.14,9.72,0.16,3447,311,0.068,0.013,3447,311,3447,311,0.191
Cole Palmer,982780,Chelsea,38,AM,Midfielder,1965,57.74,64,117,35,45,25,1,2.47,10,10.56,92000000.0,261,11.95,26,1.19,10.35,1.03,3277,417,0.08,0.062,3277,417,3277,417,0.775
Amadou Onana,923973,Aston Villa,40,MC,Midfielder,1776,53.55,19,107,10,6,7,0,0.7,2,1.71,41000000.0,142,7.2,7,0.35,6.72,0.33,3295,405,0.043,0.017,3295,405,3295,405,0.395
Rayan,1464966,Bournemouth,60,RW,Winger,1119,50.18,28,69,10,21,14,2,1.82,5,2.91,58000000.0,128,10.29,16,1.29,10.25,1.29,3742,374,0.034,0.043,3742,374,3742,374,1.265
Crysencio Summerville,917005,West Ham United,37,LW,Winger,2480,42.53,54,110,39,54,28,2,3.42,5,5.17,49000000.0,257,9.33,30,1.09,10.97,1.28,3447,311,0.075,0.096,3447,311,3447,311,1.28
João Palhinha,364612,Tottenham Hotspur,33,MC,Midfielder,2197,50.37,33,188,30,13,8,2,0.66,5,2.7,13800000.0,264,10.81,10,0.41,10.73,0.41,3597,350,0.073,0.029,3597,350,3597,350,0.397
Joachim Andersen,362682,Fulham,43,DC,Centerback,2884,51.71,16,317,3,1,7,1,1.82,0,1.48,21000000.0,337,10.52,8,0.25,10.17,0.24,3626,385,0.093,0.021,3626,385,3626,385,0.226
William Saliba,941168,Arsenal,42,DC,Centerback,2615,56.13,5,150,9,3,10,0,1.42,1,0.86,94000000.0,167,5.75,10,0.34,5.12,0.3,3614,458,0.046,0.022,3614,458,3614,458,0.478
Malick Thiaw,1014286,Newcastle United,39,DC,Centerback,2964,52.61,28,176,3,0,6,0,0.97,4,4.72,41000000.0,207,6.29,6,0.18,5.98,0.17,3629,388,0.057,0.015,3629,388,3629,388,0.263
Antoine Semenyo,934354,Manchester City,17,LW,Winger,3200,60.5,83,187,63,74,39,4,3.12,17,11.09,85000000.0,407,11.45,43,1.21,9.46,1.0,4135,545,0.098,0.079,4135,545,4135,545,0.806
Mikkel Damsgaard,907072,Brentford,50,AM,Midfielder,2078,47.61,29,225,33,33,42,4,5.44,4,2.62,29000000.0,320,13.86,46,1.99,14.56,2.09,3707,331,0.086,0.139,3707,331,3707,331,1.616
Jarrad Branthwaite,979563,Everton,48,DC,Centerback,689,43.63,6,57,2,0,3,0,0.12,1,0.35,41000000.0,65,8.49,3,0.39,9.73,0.45,3490,349,0.019,0.009,3490,349,3490,349,0.474
Phil Foden,859765,Manchester City,17,AM,Midfielder,2107,60.5,55,143,33,22,55,5,4.77,7,6.42,66000000.0,253,10.81,60,2.56,8.93,2.12,4135,545,0.061,0.11,4135,545,4135,545,1.803
Jarrod Bowen,552884,West Ham United,37,RW,Winger,3405,42.53,79,208,77,65,45,11,5.24,9,7.26,29000000.0,429,11.34,56,1.48,13.33,1.74,3447,311,0.124,0.18,3447,311,3447,311,1.452
Sven Botman,910046,Newcastle United,39,DC,Centerback,1838,52.61,15,153,5,0,8,1,0.88,1,1.74,33000000.0,173,8.47,9,0.44,8.05,0.42,3629,388,0.048,0.023,3629,388,3629,388,0.479
Joško Gvardiol,964994,Manchester City,17,DL,Fullback,1374,60.5,17,111,4,4,6,2,0.71,2,2.4,64000000.0,136,8.91,8,0.52,7.36,0.43,4135,545,0.033,0.015,4135,545,4135,545,0.455
Martin Ødegaard,547410,Arsenal,42,MC,Midfielder,1370,56.13,22,127,13,18,40,6,3.67,1,1.23,77000000.0,180,11.82,46,3.02,10.53,2.69,3614,458,0.05,0.1,3614,458,3614,458,2.0
Ezri Konsa,827679,Aston Villa,40,DC,Centerback,3036,53.55,11,95,6,4,5,0,0.58,0,1.25,47000000.0,116,3.44,5,0.15,3.21,0.14,3295,405,0.035,0.012,3295,405,3295,405,0.343
Rio Ngumoha,1881902,Liverpool FC,44,LW,Winger,582,59.21,16,25,12,13,16,1,2.03,2,1.31,29000000.0,66,10.21,17,2.63,8.62,2.22,3807,507,0.017,0.034,3807,507,3807,507,2.0
James Hill,1156586,Bournemouth,60,DC,Centerback,2120,50.18,12,231,5,0,13,3,1.16,0,0.89,24000000.0,248,10.53,16,0.68,10.49,0.68,3742,374,0.066,0.043,3742,374,3742,374,0.652
Eberechi Eze,864921,Arsenal,42,AM,Midfielder,1900,56.13,63,101,24,20,16,2,2.66,7,5.05,69000000.0,208,9.85,18,0.85,8.77,0.76,3614,458,0.058,0.039,3614,458,3614,458,0.672
Murillo,1199282,Nottingham Forest,14,DC,Centerback,2133,46.76,11,186,9,5,8,0,0.48,1,0.74,49000000.0,211,8.9,8,0.34,9.52,0.36,3445,378,0.061,0.021,3445,378,3445,378,0.344
Nico González,954056,Manchester City,17,MC,Midfielder,1575,60.5,14,127,15,5,11,0,1.11,1,0.7,43000000.0,161,9.2,11,0.63,7.6,0.52,4135,545,0.039,0.02,4135,545,4135,545,0.513
Olivier Boscagli,788784,Brighton & Hove Albion,30,DC,Centerback,819,54.08,1,102,1,0,4,1,0.46,0,0.04,13900000.0,104,11.43,5,0.55,10.57,0.51,3682,403,0.028,0.012,3682,403,3682,403,0.429
Mathias Jensen,799251,Brentford,50,MC,Midfielder,2277,47.61,29,215,25,16,35,1,6.02,3,2.27,10400000.0,285,11.26,36,1.42,11.83,1.49,3707,331,0.077,0.109,3707,331,3707,331,1.416
Ibrahim Sangaré,843754,Nottingham Forest,14,MC,Midfielder,2080,46.76,16,126,15,12,12,2,1.8,2,1.15,21000000.0,169,7.31,14,0.61,7.82,0.65,3445,378,0.049,0.037,3445,378,3445,378,0.755
Nordi Mukiele,780014,Sunderland,41,DR,Fullback,2787,44.84,26,254,15,14,24,4,2.49,3,1.88,15200000.0,309,9.98,28,0.9,11.13,1.0,3339,292,0.093,0.096,3339,292,3339,292,1.032
Vitaly Janelt,814873,Brentford,50,MC,Midfielder,1449,47.61,12,103,6,6,21,4,2.27,1,0.91,16600000.0,127,7.89,25,1.55,8.29,1.63,3707,331,0.034,0.076,3707,331,3707,331,2.235
Matthijs de Ligt,803031,Manchester United,35,DC,Centerback,1170,51.79,11,75,1,1,3,0,0.77,1,1.46,32000000.0,88,6.77,3,0.23,6.54,0.22,3756,501,0.023,0.006,3756,501,3756,501,0.261
Morato,985086,Nottingham Forest,14,DC,Centerback,1366,46.76,5,111,0,0,2,0,0.16,1,1.32,13600000.0,116,7.64,2,0.13,8.17,0.14,3445,378,0.034,0.005,3445,378,3445,378,0.147
Leandro Trossard,135666,Arsenal,42,LW,Winger,2006,56.13,53,174,39,31,36,6,3.56,6,5.48,19300000.0,297,13.33,42,1.88,11.87,1.67,3614,458,0.082,0.092,3614,458,3614,458,1.122
Lewis Dunk,115365,Brighton & Hove Albion,30,DC,Centerback,2844,54.08,24,191,5,0,7,0,0.57,1,1.71,3600000.0,220,6.96,7,0.22,6.43,0.2,3682,403,0.06,0.017,3682,403,3682,403,0.283
Jenson Seelt,1088897,Sunderland,41,DC,Centerback,134,44.84,0,13,1,0,0,0,0.02,0,0.0,5200000.0,14,9.4,0,0.0,10.48,0.0,3339,292,0.004,0.0,3339,292,3339,292,0.0
Matheus Nunes,945122,Manchester City,17,DR,Fullback,2865,60.5,7,235,18,29,28,5,2.24,1,0.35,48000000.0,289,9.08,33,1.04,7.5,0.86,4135,545,0.07,0.061,4135,545,4135,545,0.871
Pedro Neto,879349,Chelsea,38,RW,Winger,2643,57.74,46,118,25,57,55,6,6.83,5,4.62,58000000.0,246,8.38,61,2.08,7.26,1.8,3277,417,0.075,0.146,3277,417,3277,417,1.947
James Justin,827681,Leeds United,34,DR,Fullback,1916,45.74,24,170,10,13,12,1,1.17,2,1.67,12400000.0,217,10.19,13,0.61,11.14,0.67,3578,352,0.061,0.037,3578,352,3578,352,0.607
Abdukodir Khusanov,1194333,Manchester City,17,DC,Centerback,1429,60.5,7,89,2,2,6,0,0.57,0,0.68,47000000.0,100,6.3,6,0.38,5.21,0.31,4135,545,0.024,0.011,4135,545,4135,545,0.458
Trevoh Chalobah,826134,Chelsea,38,DC,Centerback,2782,57.74,16,159,5,2,5,0,1.05,3,1.43,43000000.0,182,5.89,5,0.16,5.1,0.14,3277,417,0.056,0.012,3277,417,3277,417,0.214
Patrick Dorgu,1397168,Manchester United,35,ML,Fullback,1461,51.79,26,121,22,28,27,4,1.85,4,2.35,33000000.0,197,12.14,31,1.91,11.72,1.84,3756,501,0.052,0.062,3756,501,3756,501,1.192
Noah Okafor,865523,Leeds United,34,ST,Striker,1573,45.74,35,79,31,53,20,1,1.32,8,5.26,27000000.0,198,11.33,21,1.2,12.39,1.31,3578,352,0.055,0.06,3578,352,3578,352,1.091
Daniel Muñoz,870360,Crystal Palace,7,MR,Fullback,2403,45.92,27,171,7,13,28,3,3.97,4,2.44,23000000.0,218,8.16,31,1.16,8.89,1.26,3757,330,0.058,0.094,3757,330,3757,330,1.621
Sandro Tonali,892673,Newcastle United,39,MC,Midfielder,2543,52.61,37,244,17,12,32,2,2.89,0,1.74,74000000.0,310,10.97,34,1.2,10.43,1.14,3629,388,0.085,0.088,3629,388,3629,388,1.035
Hugo Ekitiké,1048422,Liverpool FC,44,ST,Striker,1810,59.21,65,93,26,34,21,4,2.67,11,9.87,77000000.0,218,10.84,25,1.24,9.15,1.05,3807,507,0.057,0.049,3807,507,3807,507,0.86
Igor Thiago,1016907,Brentford,50,ST,Striker,3284,47.61,84,194,42,24,24,1,1.88,22,20.57,68000000.0,344,9.43,25,0.69,9.9,0.72,3707,331,0.093,0.076,3707,331,3707,331,0.817
Morgan Gibbs-White,865912,Nottingham Forest,14,AM,Midfielder,3110,46.76,83,228,37,33,49,4,2.92,15,10.84,67000000.0,381,11.03,53,1.53,11.79,1.64,3445,378,0.111,0.14,3445,378,3445,378,1.261
Enzo Le Fée,984014,Sunderland,41,MC,Midfielder,2944,44.84,36,207,31,33,53,6,5.92,5,5.16,26000000.0,307,9.39,59,1.8,10.47,2.01,3339,292,0.092,0.202,3339,292,3339,292,2.196
Lewis Miley,1400650,Newcastle United,39,MC,Midfielder,1494,52.61,12,86,9,2,15,4,2.11,1,1.34,27000000.0,109,6.57,19,1.14,6.24,1.08,3629,388,0.03,0.049,3629,388,3629,388,1.633
Kenny Tete,190877,Fulham,43,DR,Fullback,1802,51.71,16,138,16,14,11,0,1.42,1,0.96,8700000.0,184,9.19,11,0.55,8.89,0.53,3626,385,0.051,0.029,3626,385,3626,385,0.569
Jurriën Timber,958959,Arsenal,42,DR,Fullback,2457,56.13,25,160,25,20,27,5,1.61,3,4.77,73000000.0,230,8.42,32,1.17,7.5,1.04,3614,458,0.064,0.07,3614,458,3614,458,1.094
Tosin Adarabioyo,352668,Chelsea,38,DC,Centerback,796,57.74,2,72,1,0,1,0,0.4,0,0.11,16500000.0,75,8.48,1,0.11,7.34,0.1,3277,417,0.023,0.002,3277,417,3277,417,0.087
Mohamed Salah,159665,Liverpool FC,44,RW,Winger,2148,59.21,68,183,50,53,49,7,5.31,7,8.16,21000000.0,354,14.83,56,2.35,12.52,1.98,3807,507,0.093,0.11,3807,507,3807,507,1.183
Josh Cullen,792122,Burnley,6,MC,Midfielder,1519,42.29,11,138,10,4,13,2,1.35,2,0.9,4099999.0,163,9.66,15,0.89,11.42,1.05,3487,301,0.047,0.05,3487,301,3487,301,1.064
John McGinn,250223,Aston Villa,40,RW,Winger,2169,53.55,28,133,46,20,41,4,3.99,5,2.96,12600000.0,227,9.42,45,1.87,8.8,1.75,3295,405,0.069,0.111,3295,405,3295,405,1.609
Ayden Heaven,1445799,Manchester United,35,DC,Centerback,938,51.79,3,47,1,2,2,1,0.18,0,0.35,32000000.0,53,5.09,3,0.29,4.91,0.28,3756,501,0.014,0.006,3756,501,3756,501,0.429
Lucas Paquetá,839981,West Ham United,37,AM,Midfielder,1521,42.53,23,181,27,26,23,1,2.11,4,2.82,36000000.0,257,15.21,24,1.42,17.88,1.67,3447,311,0.075,0.077,3447,311,3447,311,1.027
Pedro Porro,913654,Tottenham Hotspur,33,DR,Fullback,2798,50.37,32,368,9,26,56,2,4.48,1,1.05,42000000.0,435,13.99,58,1.87,13.89,1.86,3597,350,0.121,0.166,3597,350,3597,350,1.372
Cody Gakpo,862967,Liverpool FC,44,LW,Winger,2754,59.21,87,161,28,35,54,5,4.69,7,8.46,58000000.0,311,10.16,59,1.93,8.58,1.63,3807,507,0.082,0.116,3807,507,3807,507,1.415
Jaka Bijol,886930,Leeds United,34,DC,Centerback,1913,45.74,15,153,0,1,7,2,0.78,1,0.88,18500000.0,169,7.95,9,0.42,8.69,0.46,3578,352,0.047,0.026,3578,352,3578,352,0.553
Piero Hincapié,1002837,Arsenal,42,DL,Fullback,1792,56.13,3,93,5,7,13,2,1.63,1,0.36,46000000.0,108,5.42,15,0.75,4.83,0.67,3614,458,0.03,0.033,3614,458,3614,458,1.1
Ben Davies,94758,Tottenham Hotspur,33,DC,Centerback,138,50.37,2,9,1,0,1,0,0.09,1,0.49,2800000.0,12,7.83,1,0.65,7.77,0.65,3597,350,0.003,0.003,3597,350,3597,350,1.0
Rayan Aït-Nouri,931278,Manchester City,17,DL,Fullback,976,60.5,10,57,12,20,12,2,2.02,0,0.59,39000000.0,99,9.13,14,1.29,7.55,1.07,4135,545,0.024,0.026,4135,545,4135,545,1.083
Cristhian Mosquera,1144630,Arsenal,42,DC,Centerback,1003,56.13,1,55,8,2,5,0,0.63,0,0.1,38000000.0,66,5.92,5,0.45,5.27,0.4,3614,458,0.018,0.011,3614,458,3614,458,0.611
Michael Keane,110846,Everton,48,DC,Centerback,2619,43.63,26,160,5,5,2,1,0.51,3,2.33,2800000.0,196,6.74,3,0.1,7.72,0.11,3490,349,0.056,0.009,3490,349,3490,349,0.161
Amad Diallo,971037,Manchester United,35,RW,Winger,2344,51.79,53,109,25,40,41,3,4.78,2,5.57,44000000.0,227,8.72,44,1.69,8.42,1.63,3756,501,0.06,0.088,3756,501,3756,501,1.467
Neco Williams,927356,Nottingham Forest,14,DL,Fullback,3206,46.76,46,241,28,40,37,3,3.96,2,1.97,26000000.0,355,9.97,40,1.12,10.66,1.2,3445,378,0.103,0.106,3445,378,3445,378,1.029
Maxence Lacroix,879674,Crystal Palace,7,DC,Centerback,3087,45.92,24,196,6,4,7,2,0.89,1,2.38,54000000.0,230,6.71,9,0.26,7.31,0.28,3757,330,0.061,0.027,3757,330,3757,330,0.443
Ola Aina,800417,Nottingham Forest,14,DR,Fullback,1590,46.76,12,96,15,19,10,0,0.82,0,0.4,16399999.0,142,8.04,10,0.57,8.6,0.61,3445,378,0.041,0.026,3445,378,3445,378,0.634
Mateus Mané,1899647,Wolverhampton,3,AM,Midfielder,1799,42.82,42,89,41,53,31,1,3.69,3,2.01,18500000.0,225,11.26,32,1.6,13.15,1.87,3167,274,0.071,0.117,3167,274,3167,274,1.648
Noussair Mazraoui,847030,Manchester United,35,DR,Fullback,1022,51.79,5,69,4,7,7,0,0.36,0,0.19,17500000.0,85,7.49,7,0.62,7.23,0.6,3756,501,0.023,0.014,3756,501,3756,501,0.609
Nathan Patterson,1020141,Everton,48,DR,Fullback,266,43.63,1,20,1,4,0,0,0.04,0,0.03,10900000.0,26,8.8,0,0.0,10.08,0.0,3490,349,0.007,0.0,3490,349,3490,349,0.0
Harry Maguire,149380,Manchester United,35,DC,Centerback,1667,51.79,14,118,2,1,4,2,0.52,1,1.11,8600000.0,135,7.29,6,0.32,7.04,0.31,3756,501,0.036,0.012,3756,501,3756,501,0.333
Xavi Simons,997183,Tottenham Hotspur,33,AM,Midfielder,1769,50.37,42,137,30,38,35,5,3.86,2,3.08,43000000.0,247,12.57,40,2.04,12.48,2.03,3597,350,0.069,0.114,3597,350,3597,350,1.652
Chris Richards,931844,Crystal Palace,7,DC,Centerback,2826,45.92,15,237,11,2,9,0,1.38,1,2.36,25000000.0,265,8.44,9,0.29,9.19,0.32,3757,330,0.071,0.027,3757,330,3757,330,0.38
Kobbie Mainoo,1142175,Manchester United,35,MC,Midfielder,1670,51.79,13,113,31,16,22,2,1.28,1,0.48,72000000.0,173,9.32,24,1.29,9.0,1.25,3756,501,0.046,0.048,3756,501,3756,501,1.043
Jorge Cuenca,868715,Fulham,43,DC,Centerback,965,51.71,1,73,0,3,3,0,0.56,0,0.05,8600000.0,77,7.18,3,0.28,6.94,0.27,3626,385,0.021,0.008,3626,385,3626,385,0.381
Samuel Chukwueze,822470,Fulham,43,RW,Winger,1075,51.71,25,108,15,21,24,4,3.3,3,2.07,18500000.0,169,14.15,28,2.34,13.68,2.26,3626,385,0.047,0.073,3626,385,3626,385,1.553
